Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
7.511,3.327,3.013,20.224,39.422877165224,-14.6208744049072,-87.1375961303711
7.51,3.331,3.013,20.237,39.4650196771248,-14.9314165115356,-87.2736892700195
7.516,3.331,3.011,20.229,39.4703322286354,-14.9314165115356,-87.1375961303711
7.506,3.331,3.01,20.206,39.404725880106,-14.9314165115356,-87.2736892700195
7.506,3.316,3.013,20.163,39.2663773590218,-14.6208744049072,-87.1375961303711
7.516,3.331,3.013,20.198,39.4965496528988,-14.9314165115356,-87.1375961303711
7.515,3.339,2.994,20.249,39.3365096670931,-14.6208753585815,-88.210090637207
7.51,3.331,3.015,20.237,39.491216172098,-14.9314165115356,-87.1375961303711
7.514,3.331,3.014,20.223,39.4991448848909,-14.9314165115356,-87.2736892700195
7.509,3.335,2.991,20.236,39.218680503979,-15.4221601486206,0
7.512,3.331,3.011,20.193,39.4493261976462,-14.9314165115356,-87.2736892700195
7.512,3.331,2.991,20.182,39.1872914836134,-14.9314165115356,0
7.5,3.318,2.991,20.16,38.9719987925141,-14.6208744049072,0
7.506,3.328,3.003,20.182,39.2776804198319,-14.4702930450439,-88.1523895263672
7.51,3.325,3.011,20.214,39.3677835726971,-14.9314165115356,-87.1375961303711
7.501,3.314,3.014,20.16,39.2295692803479,-14.6763925552368,-86.9872131347656
7.505,3.329,2.991,20.162,39.1272681845288,-14.6208753585815,0
7.504,3.319,2.991,20.177,39.0045357524062,-14.6208744049072,0
7.512,3.331,3.013,20.213,39.4755296690495,-14.9314165115356,-87.1375961303711
7.506,3.331,2.991,20.185,39.1559917300322,-14.9314165115356,0
7.512,3.331,3.011,20.222,39.4493261976462,-14.9314165115356,-87.2736892700195
7.509,3.331,3.012,20.204,39.4466681777834,-14.9314184188843,-87.1375961303711
7.514,3.323,2.969,20.195,38.8159618115013,-14.6208744049072,0
7.506,3.331,3.011,20.206,39.4178171511625,-14.9314165115356,-87.2736892700195
7.512,3.325,3.013,20.197,39.404423941636,-14.9314165115356,-87.1375961303711
7.514,3.329,3.014,20.193,39.4754287966982,-14.6208744049072,-86.9872131347656
7.511,3.329,3.011,20.205,39.4203916669689,-14.6208744049072,-87.1375961303711
7.517,3.329,3.012,20.208,39.464984379237,-14.6208744049072,-87.1375961303711
7.498,3.319,2.991,20.172,38.9733487568685,-14.9314184188843,0
7.509,3.323,3.011,20.195,39.338864807579,-14.6208753585815,-87.2736892700195
7.506,3.331,2.991,20.195,39.1559917300322,-14.9314165115356,0
7.512,3.331,2.991,20.201,39.1872914836134,-14.9314165115356,0
7.51,3.331,3.013,20.192,39.4650196771248,-14.9314165115356,-87.2736892700195
7.506,3.314,2.991,20.15,38.9561562873992,-14.6208744049072,0
7.503,3.319,3.011,20.163,39.2601158397083,-14.9314184188843,-87.1375961303711
7.512,3.331,3.01,20.241,39.4362244619446,-14.9314165115356,-87.2736892700195
7.506,3.331,3.011,20.192,39.4178171511625,-14.9314165115356,-87.1375961303711
7.514,3.331,3.011,20.205,39.4598292131408,-14.9314165115356,-87.2736892700195
7.513,3.331,2.991,20.222,39.1925081092102,-14.9314184188843,0
7.509,3.325,2.994,20.204,39.140302000568,-14.9314184188843,-88.315315246582
7.504,3.331,2.969,20.213,38.8576272563261,-14.9314184188843,0
7.506,3.329,3.011,20.172,39.3941498937916,-14.6208744049072,-87.2736892700195
7.506,3.331,3.011,20.191,39.4178171511625,-14.9314165115356,-87.2736892700195
7.506,3.318,3.013,20.177,39.2900603369223,-14.6208744049072,-87.1375961303711
7.509,3.331,3.013,20.213,39.4597646811625,-14.9314184188843,-87.3974456787109
7.512,3.331,2.991,20.236,39.1872914836134,-14.9314165115356,0
7.516,3.325,2.969,20.237,38.8496616664715,-14.9314165115356,0
7.506,3.323,3.011,20.189,39.323148121679,-14.6208744049072,-87.1375961303711
7.512,3.331,3.011,20.208,39.4493261976462,-14.9314165115356,-87.2736892700195
7.505,3.318,2.991,20.186,38.9979801250425,-14.6208753585815,0
7.512,3.331,3.013,20.209,39.4755296690495,-14.9314165115356,-87.2736892700195
7.517,3.331,3.011,20.227,39.4755837363827,-14.9314184188843,-87.2736892700195
7.505,3.314,3.011,20.171,39.2114207572134,-14.6208753585815,-87.2736892700195
7.512,3.331,3.01,20.21,39.4362244619446,-14.9314165115356,-87.1375961303711
7.516,3.331,2.991,20.233,39.2081579860008,-14.9314165115356,0
7.506,3.331,2.991,20.189,39.1559917300322,-14.9314165115356,0
7.516,3.333,2.991,20.225,39.231699359754,-14.6208744049072,0
7.512,3.331,2.993,20.214,39.2134949550166,-14.9314165115356,-87.6140594482422
7.504,3.325,2.991,20.201,39.0750471156223,-14.9314184188843,0
7.512,3.331,3.012,20.22,39.4624279333479,-14.9314165115356,-87.1375961303711
7.503,3.319,2.999,20.163,39.1036490877733,-14.9314184188843,-87.2736892700195
7.515,3.329,3.013,20.207,39.46758328218,-14.6208753585815,-87.2736892700195
7.5,3.316,2.991,20.146,38.9485075334469,-14.6208744049072,0
7.506,3.325,2.969,20.183,38.7979723880436,-14.9314165115356,0
7.512,3.322,3.011,20.186,39.342738405458,-14.9314165115356,-87.2736892700195
7.513,3.331,2.991,20.229,39.1925081092102,-14.9314184188843,0
